country,bars,stripes,red,green,blue,gold,white,black,orange
Albania,0,0,1,0,0,1,0,1,0
Andorra,3,0,1,0,1,1,0,0,0
Armenia,0,3,1,0,1,1,0,0,0
Austria,0,3,1,0,0,0,1,0,0
Azerbaijan,0,3,1,1,1,0,0,0,0
Belarus,0,2,1,1,0,0,0,0,0
Belgium,3,0,1,0,0,1,0,1,0
Bosnia Herzegovina,0,0,0,0,1,1,0,0,0
Bulgaria,0,3,1,1,1,1,1,0,0
Croatia,0,3,1,1,0,0,1,0,0
Cyprus,0,0,0,1,0,1,1,0,0
Czechia,0,0,1,0,1,0,1,0,0
Denmark,0,0,1,0,0,0,1,0,0
Estonia,0,3,0,0,1,0,1,1,0
Finland,0,0,0,0,1,0,1,0,0
France,3,0,1,0,1,0,1,0,0
Georgia,0,0,1,0,0,0,1,0,0
Germany,0,3,1,0,0,1,0,1,0
Greece,0,9,0,0,1,0,1,0,0
Hungary,0,3,1,1,0,0,1,0,0
Iceland,0,0,1,0,1,0,1,0,0
Ireland,3,0,0,1,0,0,1,0,1
Italy,3,0,1,1,0,0,1,0,0
Kazakhstan,0,0,0,0,1,1,0,0,0
Latvia,0,3,1,0,0,0,1,0,0
Liechtenstein,0,2,1,0,1,1,0,0,0
Lithuania,0,3,1,1,0,1,0,0,0
Luxembourg,0,3,1,0,1,0,1,0,0
Macedonia,0,0,1,0,0,1,0,0,0
Malta,2,0,1,0,0,0,1,1,0
Moldova,3,0,1,0,1,1,0,1,0
Monaco,0,2,1,0,0,0,1,0,0
Montenegro,0,0,1,0,0,1,0,1,0
Netherlands,0,3,1,0,1,0,1,0,0
Norway,0,0,1,0,1,0,1,0,0
Poland,0,2,1,0,0,0,1,0,0
Portugal,0,0,1,1,1,1,1,0,0
Romania,3,0,1,0,1,1,0,0,0
Russia,0,3,1,0,1,0,1,0,0
San-Marino,0,2,0,1,1,1,1,1,0
Serbia,0,3,1,0,1,1,1,1,0
Slovakia,0,3,1,0,1,0,1,0,0
Slovenia,0,3,1,0,1,0,1,0,0
Spain,0,3,1,0,0,1,0,0,0
Sweden,0,0,0,0,1,1,0,0,0
Switzerland,0,0,1,0,0,0,1,0,0
Turkey,0,0,1,0,0,0,1,0,0
Ukraine,0,2,0,0,1,1,0,0,0
United Kingdom,0,0,1,0,1,0,1,0,0
Vatican City,2,0,1,0,0,1,1,1,0
